task_id,dataset_id,variant,alpha,tau_mode,seed,n_train,n_calib,n_eval,n_trials,exit_code,slurm_job_id,slurm_array_job_id,slurm_array_task_id,host,started_at,finished_at,command
1,h1h0,without_whitened,0.05,global,42,1200,1200,1200,50,0,17480780,17480779,1,ise-4090-08.auth.ad.bgu.ac.il,2026-05-11T16:41:12+03:00,2026-05-11T16:53:39+03:00,conda run -n ec python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
2,lmsys,without_whitened,0.05,global,42,1200,1200,1200,50,0,17480779,17480779,2,ise-4090-09.auth.ad.bgu.ac.il,2026-05-11T16:41:12+03:00,2026-05-11T16:54:01+03:00,conda run -n ec python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
