task_id	group	name	alpha	tau_mode	seed	n_train	n_calib	n_eval	hadamard	n_trials	command
13	train_size_ablation	n_train_100_seed_44	0.05	global	44	100	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 100 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
14	train_size_ablation	n_train_100_seed_45	0.05	global	45	100	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 100 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
15	train_size_ablation	n_train_100_seed_46	0.05	global	46	100	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 100 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
16	train_size_ablation	n_train_250_seed_42	0.05	global	42	250	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 250 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
17	train_size_ablation	n_train_250_seed_43	0.05	global	43	250	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 250 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
18	train_size_ablation	n_train_250_seed_44	0.05	global	44	250	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 250 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
19	train_size_ablation	n_train_250_seed_45	0.05	global	45	250	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 250 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
20	train_size_ablation	n_train_250_seed_46	0.05	global	46	250	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 250 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
21	train_size_ablation	n_train_500_seed_42	0.05	global	42	500	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 500 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
22	train_size_ablation	n_train_500_seed_43	0.05	global	43	500	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 500 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
23	train_size_ablation	n_train_500_seed_44	0.05	global	44	500	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 500 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
24	train_size_ablation	n_train_500_seed_45	0.05	global	45	500	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 500 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
25	train_size_ablation	n_train_500_seed_46	0.05	global	46	500	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 500 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
26	train_size_ablation	n_train_750_seed_42	0.05	global	42	750	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 750 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
27	train_size_ablation	n_train_750_seed_43	0.05	global	43	750	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 750 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
28	train_size_ablation	n_train_750_seed_44	0.05	global	44	750	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 750 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
29	train_size_ablation	n_train_750_seed_45	0.05	global	45	750	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 750 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
30	train_size_ablation	n_train_750_seed_46	0.05	global	46	750	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 750 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
31	train_size_ablation	n_train_1000_seed_42	0.05	global	42	1000	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1000 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
32	train_size_ablation	n_train_1000_seed_43	0.05	global	43	1000	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1000 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
33	train_size_ablation	n_train_1000_seed_44	0.05	global	44	1000	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1000 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
34	train_size_ablation	n_train_1000_seed_45	0.05	global	45	1000	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1000 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
35	train_size_ablation	n_train_1000_seed_46	0.05	global	46	1000	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1000 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
36	train_size_ablation	n_train_1270_seed_42	0.05	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
37	train_size_ablation	n_train_1270_seed_43	0.05	global	43	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
38	train_size_ablation	n_train_1270_seed_44	0.05	global	44	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
39	train_size_ablation	n_train_1270_seed_45	0.05	global	45	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
40	train_size_ablation	n_train_1270_seed_46	0.05	global	46	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
41	calib_size_ablation	n_calib_100_seed_42	0.05	global	42	1270	100	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 100 --n_eval 1270 --hadamard_preprocess
42	calib_size_ablation	n_calib_100_seed_43	0.05	global	43	1270	100	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 100 --n_eval 1270 --hadamard_preprocess
43	calib_size_ablation	n_calib_100_seed_44	0.05	global	44	1270	100	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 100 --n_eval 1270 --hadamard_preprocess
44	calib_size_ablation	n_calib_100_seed_45	0.05	global	45	1270	100	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 100 --n_eval 1270 --hadamard_preprocess
45	calib_size_ablation	n_calib_100_seed_46	0.05	global	46	1270	100	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 100 --n_eval 1270 --hadamard_preprocess
46	calib_size_ablation	n_calib_250_seed_42	0.05	global	42	1270	250	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 250 --n_eval 1270 --hadamard_preprocess
47	calib_size_ablation	n_calib_250_seed_43	0.05	global	43	1270	250	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 250 --n_eval 1270 --hadamard_preprocess
48	calib_size_ablation	n_calib_250_seed_44	0.05	global	44	1270	250	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 250 --n_eval 1270 --hadamard_preprocess
49	calib_size_ablation	n_calib_250_seed_45	0.05	global	45	1270	250	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 250 --n_eval 1270 --hadamard_preprocess
50	calib_size_ablation	n_calib_250_seed_46	0.05	global	46	1270	250	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 250 --n_eval 1270 --hadamard_preprocess
51	calib_size_ablation	n_calib_500_seed_42	0.05	global	42	1270	500	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 500 --n_eval 1270 --hadamard_preprocess
52	calib_size_ablation	n_calib_500_seed_43	0.05	global	43	1270	500	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 500 --n_eval 1270 --hadamard_preprocess
53	calib_size_ablation	n_calib_500_seed_44	0.05	global	44	1270	500	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 500 --n_eval 1270 --hadamard_preprocess
54	calib_size_ablation	n_calib_500_seed_45	0.05	global	45	1270	500	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 500 --n_eval 1270 --hadamard_preprocess
55	calib_size_ablation	n_calib_500_seed_46	0.05	global	46	1270	500	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 500 --n_eval 1270 --hadamard_preprocess
56	calib_size_ablation	n_calib_750_seed_42	0.05	global	42	1270	750	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 750 --n_eval 1270 --hadamard_preprocess
57	calib_size_ablation	n_calib_750_seed_43	0.05	global	43	1270	750	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 750 --n_eval 1270 --hadamard_preprocess
58	calib_size_ablation	n_calib_750_seed_44	0.05	global	44	1270	750	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 750 --n_eval 1270 --hadamard_preprocess
59	calib_size_ablation	n_calib_750_seed_45	0.05	global	45	1270	750	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 750 --n_eval 1270 --hadamard_preprocess
60	calib_size_ablation	n_calib_750_seed_46	0.05	global	46	1270	750	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 750 --n_eval 1270 --hadamard_preprocess
61	calib_size_ablation	n_calib_1000_seed_42	0.05	global	42	1270	1000	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1000 --n_eval 1270 --hadamard_preprocess
62	calib_size_ablation	n_calib_1000_seed_43	0.05	global	43	1270	1000	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 1000 --n_eval 1270 --hadamard_preprocess
63	calib_size_ablation	n_calib_1000_seed_44	0.05	global	44	1270	1000	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 1000 --n_eval 1270 --hadamard_preprocess
64	calib_size_ablation	n_calib_1000_seed_45	0.05	global	45	1270	1000	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 1000 --n_eval 1270 --hadamard_preprocess
65	calib_size_ablation	n_calib_1000_seed_46	0.05	global	46	1270	1000	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 1000 --n_eval 1270 --hadamard_preprocess
66	calib_size_ablation	n_calib_1240_seed_42	0.05	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
67	calib_size_ablation	n_calib_1240_seed_43	0.05	global	43	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
68	calib_size_ablation	n_calib_1240_seed_44	0.05	global	44	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
69	calib_size_ablation	n_calib_1240_seed_45	0.05	global	45	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
70	calib_size_ablation	n_calib_1240_seed_46	0.05	global	46	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
71	hadamard_ablation	hadamard_0_seed_42	0.05	global	42	1270	1240	1270	0	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 
72	hadamard_ablation	hadamard_0_seed_43	0.05	global	43	1270	1240	1270	0	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 1240 --n_eval 1270 
73	hadamard_ablation	hadamard_0_seed_44	0.05	global	44	1270	1240	1270	0	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 1240 --n_eval 1270 
74	hadamard_ablation	hadamard_0_seed_45	0.05	global	45	1270	1240	1270	0	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 1240 --n_eval 1270 
75	hadamard_ablation	hadamard_0_seed_46	0.05	global	46	1270	1240	1270	0	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 1240 --n_eval 1270 
76	hadamard_ablation	hadamard_1_seed_42	0.05	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
77	hadamard_ablation	hadamard_1_seed_43	0.05	global	43	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
